id,ps_ind_01,ps_ind_03,ps_ind_15,ps_ind_02_cat,ps_ind_04_cat,ps_ind_05_cat,ps_ind_06_bin,ps_ind_07_bin,ps_ind_08_bin,ps_ind_16_bin,ps_ind_17_bin,ps_reg_01,ps_reg_02,ps_reg_03,ps_car_01_cat,ps_car_04_cat,ps_car_07_cat,ps_car_12,ps_car_13,ps_car_15,ps_calc_01,ps_calc_02,ps_calc_03,ps_calc_15_bin,ps_calc_16_bin,target
15,5,9,3,2,0,0,1,0,1,0,0,0.4,1.0,2.957,6,3,1,0.4578,2.2762,2.0,0.6,0.5,0.8,1,1,0
16,6,1,11,4,1,3,0,1,1,1,1,0.8,0.6,1.857,6,3,0,0.2638,0.5336,1.4142,0.9,0.2,0.2,0,1,0
17,4,4,5,-1,1,6,0,1,1,1,0,0.5,0.8,1.4,0,7,1,0.9911,1.34,3.3166,0.4,0.4,0.0,1,0,0
18,1,1,11,4,0,2,1,1,1,1,1,0.5,0.9,2.589,8,8,0,1.0522,0.7026,3.6056,0.6,0.9,0.5,0,1,0
19,6,2,2,1,1,4,0,0,1,1,0,0.5,0.9,1.969,5,1,1,0.6395,2.0222,2.4495,0.8,0.3,0.4,1,1,0
20,3,7,8,2,1,5,0,0,0,1,1,0.2,0.3,0.07,5,9,1,0.9935,0.9173,1.4142,0.7,0.1,0.2,1,0,0
21,4,3,4,3,0,2,0,0,0,0,1,0.1,0.0,2.58,11,5,0,0.8286,1.4857,3.3166,0.7,0.3,0.1,1,1,0
22,2,3,13,4,1,4,1,1,1,0,1,0.3,1.0,0.636,10,6,0,0.4711,1.0431,2.6458,0.9,0.8,0.4,0,1,1
23,1,11,7,2,0,4,0,1,1,1,0,0.6,0.5,3.842,6,0,0,0.6576,3.3801,0.0,0.9,0.8,0.6,0,0,0
24,7,2,10,1,0,3,0,1,0,1,0,0.8,0.1,2.977,1,1,1,0.8714,1.0736,3.3166,0.6,0.1,0.1,0,0,0
25,6,2,1,4,1,2,1,0,1,0,1,0.1,0.7,1.494,9,0,0,1.1346,1.5605,1.4142,0.7,0.1,0.3,1,1,0
26,5,11,9,4,1,3,1,0,0,1,1,0.1,1.8,0.241,9,5,1,0.4636,0.7891,2.6458,0.8,0.1,0.4,1,0,0
27,3,6,1,3,1,1,1,1,0,0,0,0.8,1.1,1.311,0,1,1,0.3432,3.4607,3.0,0.1,0.9,0.6,0,1,0
28,6,0,5,1,0,3,0,1,1,0,1,0.3,1.3,2.606,-1,3,1,1.1553,2.1092,3.6056,0.5,0.4,0.6,1,0,0
29,4,5,3,3,0,2,0,1,1,1,0,0.2,1.5,3.595,3,5,0,1.2476,1.3151,1.7321,0.4,0.0,0.2,0,1,1
30,3,6,0,2,1,2,1,1,0,1,1,0.0,1.2,2.991,5,0,1,0.2575,2.7096,0.0,0.1,0.4,0.6,0,1,0
31,3,3,8,2,0,1,0,0,1,0,0,0.2,0.8,3.081,9,7,1,1.2585,0.6017,3.0,0.3,0.6,0.8,1,1,0
32,1,6,3,1,1,3,1,1,1,0,0,0.0,1.6,0.521,6,9,0,1.0163,2.4922,2.2361,0.5,0.0,0.1,1,0,1
33,0,7,7,2,1,0,0,1,1,0,0,0.6,0.5,0.917,2,8,1,1.2153,1.7614,2.4495,0.1,0.6,0.8,0,1,0
34,4,3,10,4,1,0,0,0,1,1,1,0.1,0.5,3.162,5,0,1,0.2273,0.6707,1.0,0.1,0.5,0.4,1,0,0
35,7,9,2,1,1,1,1,1,0,1,1,0.7,0.5,1.505,8,5,0,1.2363,1.7256,2.4495,0.5,0.8,0.2,1,1,0
36,0,5,9,4,0,3,0,0,0,1,1,0.6,0.6,3.434,10,3,0,0.3993,0.701,1.7321,0.1,0.6,0.6,1,0,0
37,6,11,4,3,1,1,0,1,1,0,1,0.0,1.4,0.162,1,3,0,0.2871,3.3635,3.3166,0.3,0.7,0.3,1,1,0
38,6,1,4,3,0,3,1,0,1,1,1,0.9,0.2,2.468,2,2,0,1.1471,2.825,3.4641,0.3,0.4,0.3,0,1,0
39,2,3,8,4,0,1,1,1,1,0,1,0.9,0.9,2.036,3,7,0,1.0753,2.0531,2.0,0.0,0.1,0.3,1,0,1
40,5,8,8,1,0,2,0,1,0,1,1,0.9,1.1,3.219,1,2,1,0.6922,1.5557,2.8284,0.0,0.7,0.7,1,0,0
41,1,10,9,4,1,3,0,0,0,0,0,0.2,1.7,0.678,4,5,0,1.1326,1.3374,3.4641,0.1,0.3,0.7,0,1,1
42,6,2,2,2,1,2,1,1,1,0,0,0.6,0.7,0.792,7,2,-1,1.172,2.0427,2.2361,0.3,0.9,0.4,1,0,0
43,5,11,8,2,1,0,1,0,1,0,1,0.4,0.9,1.971,7,3,1,0.2101,3.3862,1.0,0.9,0.8,0.8,1,0,0
44,2,2,3,2,0,4,0,1,0,1,1,0.3,1.2,2.417,9,5,0,0.2676,2.1137,2.4495,0.4,0.6,0.5,0,0,1
45,0,4,3,3,1,1,0,0,1,1,1,0.4,0.3,0.65,3,3,0,0.8442,3.0413,3.0,0.9,0.2,0.7,0,1,0
46,7,3,13,2,1,3,0,0,0,1,0,0.6,0.7,3.625,5,7,0,0.2465,0.5246,3.1623,0.2,0.8,0.3,0,1,0
47,3,5,1,4,1,4,0,0,0,0,1,0.1,0.1,3.372,11,3,0,0.9035,1.5926,1.4142,0.2,0.2,0.5,0,1,1
48,7,10,5,1,0,0,1,1,0,0,1,0.4,0.0,0.503,7,2,0,0.5785,1.3337,1.0,0.3,0.3,0.8,1,0,0
49,5,8,6,3,0,4,1,1,1,1,1,0.8,0.8,3.398,5,7,0,0.7536,0.5337,2.2361,0.2,0.3,0.6,1,1,0
50,6,9,3,3,0,2,1,1,0,1,0,0.5,1.5,3.658,5,7,1,1.2087,1.2814,1.7321,0.8,0.1,0.9,0,1,1
51,6,3,10,3,1,3,1,0,1,0,0,0.8,0.7,0.978,3,2,0,1.0179,1.2638,3.6056,0.9,0.7,0.3,0,1,0
52,1,11,6,3,0,0,1,1,0,0,0,0.0,1.0,3.458,9,5,1,0.5958,1.2145,3.6056,0.4,0.1,0.1,1,0,0
53,2,5,10,3,0,3,1,1,1,0,0,0.5,0.8,2.252,4,7,0,1.1917,0.5206,3.3166,0.3,0.3,0.5,0,0,0
54,3,7,5,4,0,2,1,1,0,0,1,0.6,0.8,3.21,8,9,0,0.7305,0.8691,2.4495,0.0,0.2,0.8,0,0,1
55,3,8,12,1,0,1,0,0,0,0,0,0.3,1.1,2.41,6,7,0,0.6188,0.857,3.4641,0.2,0.4,0.6,1,1,0
56,0,7,10,2,1,3,0,1,1,0,0,0.1,1.7,1.192,11,5,1,1.2342,2.2883,3.1623,0.2,0.2,0.8,0,0,0
57,4,7,4,3,1,4,1,1,1,1,0,0.1,1.0,2.769,3,7,0,0.2229,1.5301,2.4495,0.3,0.6,0.5,0,0,0
58,1,5,13,2,0,2,1,0,0,1,0,0.5,1.5,2.799,7,8,1,0.8048,2.1342,2.8284,0.3,0.6,0.3,1,0,0
59,5,7,12,4,0,4,1,1,0,1,1,0.2,0.6,2.885,8,7,1,1.2299,1.5799,1.0,0.8,0.8,0.6,0,1,0
60,5,10,8,3,0,-1,0,1,0,0,0,0.0,0.5,3.04,8,3,0,1.2283,2.3338,1.4142,0.4,0.3,0.1,0,1,0
61,7,4,0,3,0,5,0,1,0,0,1,0.7,0.1,2.585,11,4,1,0.3715,2.1668,3.4641,0.8,0.2,0.6,0,1,0
62,5,6,8,1,1,1,0,1,0,1,0,0.7,1.1,1.736,6,7,0,1.101,2.8654,2.0,0.7,0.0,0.4,1,0,0
63,2,2,9,2,0,5,0,0,0,0,0,0.7,1.3,1.33,5,5,1,0.6111,2.9755,0.0,0.7,0.8,0.2,0,1,1
64,7,4,5,3,0,2,0,0,1,0,1,0.5,1.1,3.638,6,2,0,1.0472,1.8239,3.4641,0.4,0.1,0.2,0,0,1
65,3,9,2,2,1,3,1,1,0,1,0,0.5,1.5,3.256,3,3,1,0.2052,2.9371,2.6458,0.0,0.7,0.2,1,0,0
66,2,7,7,4,1,0,0,1,1,0,0,0.5,0.4,3.341,0,0,1,0.2274,0.9382,2.8284,0.1,0.7,0.1,0,0,0
67,7,2,11,1,0,0,1,1,0,1,1,0.7,1.2,0.365,10,2,0,0.4293,1.8569,2.6458,0.3,0.1,0.0,0,1,0
68,2,6,4,1,1,6,0,1,1,1,0,0.6,0.9,1.626,5,7,-1,0.8338,1.2308,2.6458,0.9,0.1,0.7,1,1,0
69,0,9,6,2,1,0,0,0,1,1,1,0.1,0.6,1.417,-1,1,1,1.2348,3.4345,3.3166,0.0,0.3,0.5,1,1,0
70,3,1,0,2,1,-1,0,1,1,0,0,0.3,0.9,3.503,2,7,1,1.095,1.738,1.0,0.5,0.6,0.9,0,1,0
71,6,0,9,4,0,3,1,0,0,1,0,0.6,1.3,1.325,2,0,0,0.3947,2.2575,2.6458,0.3,0.3,0.6,1,1,0
72,1,4,12,4,0,4,0,1,1,0,0,0.5,1.6,3.761,11,5,0,0.4041,2.9618,1.4142,0.6,0.6,0.0,1,1,0
73,3,7,10,2,0,0,0,1,1,1,0,0.8,1.1,3.239,2,0,1,1.1764,1.716,3.1623,0.9,0.8,0.5,0,1,0
74,1,3,6,3,0,1,1,1,0,0,0,0.3,1.2,3.475,10,8,0,1.0159,1.721,1.4142,0.6,0.7,0.8,1,0,0
75,5,9,0,2,0,2,1,1,0,1,1,0.7,1.7,0.426,7,6,1,0.8361,2.0011,1.0,0.1,0.4,0.6,0,0,0
76,3,10,6,3,1,6,0,0,1,0,0,0.6,1.3,3.904,4,7,1,0.2534,3.1966,1.0,0.2,0.7,0.6,1,0,0
77,2,6,13,3,0,2,1,1,0,1,0,0.7,0.4,1.479,4,2,1,0.3622,1.6879,2.2361,0.7,0.1,0.6,0,0,0
78,1,4,1,3,1,3,1,0,0,1,0,0.6,1.4,0.321,1,5,1,0.8276,0.9936,3.0,0.4,0.9,0.2,0,0,0
79,4,0,2,4,1,4,1,0,1,0,0,0.8,0.2,2.494,4,6,1,1.1296,1.0209,2.2361,0.6,0.2,0.5,1,0,0
80,5,9,11,3,0,2,1,0,1,0,1,0.7,0.2,3.458,4,5,0,0.9125,1.9942,3.3166,0.2,0.5,0.2,0,0,0
81,7,10,7,2,0,5,0,0,1,0,0,0.7,1.7,2.912,-1,8,1,0.7441,2.6398,3.0,0.2,0.0,0.7,0,1,0
82,3,5,2,1,0,4,1,1,1,1,1,0.4,0.2,2.821,11,7,1,1.2102,1.7438,3.3166,0.9,0.4,0.4,1,0,0
83,1,6,0,3,0,3,1,0,1,1,1,0.1,1.5,3.765,10,6,0,0.2551,2.0934,3.4641,0.2,0.3,0.0,1,0,0
84,6,9,5,4,0,2,0,0,0,0,0,0.5,1.2,3.869,0,2,1,0.3564,1.9626,2.4495,0.3,0.5,0.3,1,0,0
85,5,8,8,3,0,1,1,0,1,1,0,0.4,1.4,3.296,7,3,0,0.4559,3.0634,2.8284,0.3,0.3,0.1,0,1,0
86,5,1,11,4,1,6,0,1,0,1,0,0.8,1.0,3.136,10,2,0,0.2101,0.8402,3.6056,0.2,0.1,0.1,1,1,0
87,0,8,12,2,0,0,0,0,1,0,1,0.6,1.4,1.402,0,2,1,0.6892,2.9005,2.4495,0.8,0.7,0.6,1,1,0
88,2,11,6,-1,0,1,0,1,0,0,1,0.7,1.7,1.851,1,2,1,0.63,0.8149,3.3166,0.0,0.4,0.8,1,1,0
89,6,9,5,3,0,1,0,0,1,1,0,0.6,1.3,2.12,3,5,1,0.3527,1.669,3.1623,0.2,0.3,0.4,0,0,0
90,6,5,13,1,1,5,0,0,1,0,1,0.6,0.6,1.916,6,6,0,0.2631,2.6652,1.7321,0.1,0.2,0.6,0,1,0
91,3,6,10,1,1,4,1,0,1,0,1,0.8,1.6,3.228,6,4,1,0.2889,1.9741,3.6056,0.5,0.4,0.6,1,1,0
92,6,3,2,3,0,6,0,0,0,1,1,0.1,0.9,3.973,10,9,0,0.6988,0.6584,2.4495,0.1,0.7,0.9,1,1,0
93,6,7,9,2,1,5,1,0,0,1,0,0.8,0.3,0.823,10,6,0,0.9922,0.8278,3.4641,0.3,0.4,0.1,1,0,0
94,3,2,10,3,1,3,0,1,0,0,0,0.7,1.6,3.155,-1,0,1,0.3568,3.3339,3.3166,0.9,0.5,0.3,1,0,0
95,7,4,3,3,0,0,1,1,0,1,1,0.9,0.7,2.444,0,4,1,1.0152,1.5631,2.8284,0.1,0.4,0.7,0,1,0
96,2,3,13,2,0,6,1,0,1,0,1,0.1,0.4,2.907,2,2,0,0.3856,2.5402,1.7321,0.5,0.2,0.4,0,0,1
97,1,4,4,3,0,4,1,1,1,1,1,0.8,1.2,2.002,9,6,1,0.8333,0.688,1.4142,0.2,0.1,0.9,0,0,0
98,5,4,7,3,0,0,1,0,1,1,0,0.2,1.8,2.784,11,1,0,0.5515,3.335,1.0,0.1,0.3,0.1,0,0,1
99,5,0,6,3,1,6,0,1,0,1,1,0.1,1.5,2.501,1,7,0,0.3266,2.6891,2.8284,0.1,0.9,0.1,0,1,1
100,1,8,9,3,0,4,0,0,1,1,0,0.2,0.5,2.623,10,0,0,1.021,2.2369,2.4495,0.8,0.9,0.6,1,1,0
101,6,5,12,2,0,4,1,1,0,1,1,0.1,1.3,3.804,4,4,1,0.7455,2.4866,2.0,0.2,0.6,0.2,1,1,1
102,1,11,5,3,0,2,0,0,1,0,1,0.3,0.5,0.183,1,7,1,0.7302,0.871,3.1623,0.6,0.6,0.5,1,0,0
103,6,2,5,3,0,2,1,1,0,0,0,0.8,0.9,1.184,8,5,0,0.7178,3.2908,3.1623,0.3,0.4,0.4,0,1,1
104,0,8,10,1,1,2,1,0,1,1,0,0.6,0.3,2.578,6,9,1,0.4638,3.4761,1.7321,0.1,0.8,0.6,0,0,0
105,6,2,13,1,0,0,1,1,0,1,1,0.5,0.5,1.529,2,2,1,0.6132,1.1505,1.7321,0.2,0.2,0.4,1,1,0
106,6,6,12,1,0,3,1,0,0,1,1,0.8,1.8,1.8,7,6,0,0.8478,2.394,3.4641,0.6,0.1,0.6,0,0,0
107,6,5,10,1,1,0,0,0,1,0,0,0.8,0.8,1.707,1,5,0,0.2129,2.556,0.0,0.3,0.4,0.3,0,0,0
108,5,5,9,2,0,4,1,0,0,1,1,0.9,1.3,3.113,-1,5,1,1.2919,1.6265,3.4641,0.3,0.1,0.6,0,0,0
109,3,7,10,4,0,1,1,1,0,0,0,0.8,0.8,0.228,9,0,1,0.2966,3.3119,2.8284,0.7,0.8,0.8,0,0,0
110,5,9,13,4,1,4,1,0,1,1,1,0.7,0.0,1.8,4,9,0,1.2327,1.1193,0.0,0.2,0.9,0.0,1,0,1
111,2,3,0,4,0,2,0,0,1,0,1,0.0,1.2,2.668,1,7,1,1.2783,1.4512,3.3166,0.3,0.5,0.4,1,1,0
112,6,10,8,3,0,1,1,1,0,0,0,0.5,0.8,1.637,9,8,1,1.2691,2.2032,3.4641,0.8,0.4,0.1,0,1,0
113,4,2,0,1,0,1,1,0,0,1,0,0.4,0.5,0.26,1,9,0,1.1989,1.0801,2.2361,0.4,0.9,0.2,1,0,0
114,3,3,8,2,0,2,0,0,1,1,0,0.1,0.4,3.799,3,3,1,0.8905,0.9147,3.6056,0.1,0.1,0.8,1,1,0
115,4,3,5,4,0,0,1,0,0,1,1,0.1,0.9,1.516,0,4,1,0.5142,2.1995,3.1623,0.8,0.3,0.2,1,1,0
116,4,11,4,4,0,1,0,0,1,0,1,0.4,1.6,3.761,3,1,1,0.6064,2.0531,3.1623,0.2,0.6,0.3,1,0,0
117,0,1,12,4,1,3,0,1,0,0,1,0.9,0.6,3.686,0,7,1,1.135,1.8853,1.4142,0.2,0.5,0.3,1,1,0
118,1,4,9,2,0,4,0,1,0,0,0,0.4,1.0,0.546,6,2,0,0.4227,3.2188,2.4495,0.7,0.2,0.7,0,0,0
119,1,5,7,2,0,3,0,0,1,0,0,0.7,0.1,2.552,1,3,1,0.3142,2.5767,2.2361,0.4,0.4,0.7,1,0,0
120,0,9,12,3,1,0,0,1,0,0,1,0.2,1.3,1.147,0,7,0,0.3489,3.3005,2.4495,0.7,0.0,0.5,1,0,0
121,3,5,1,1,0,5,0,0,1,0,0,0.2,1.4,0.824,-1,2,1,1.2097,0.7833,2.2361,0.4,0.7,0.4,1,1,0
122,5,11,9,1,0,2,1,1,1,0,0,0.8,0.7,2.246,0,7,0,0.7155,1.5966,3.1623,0.6,0.8,0.4,0,1,0
123,5,8,2,1,0,4,1,1,1,0,1,0.3,0.8,2.146,4,8,0,1.2262,0.6424,1.4142,0.3,0.8,0.8,0,0,1
124,3,8,3,3,1,6,1,1,0,0,0,0.6,0.1,3.539,11,4,1,0.8516,2.5989,2.4495,0.3,0.6,0.9,1,0,0
125,6,9,2,1,1,0,1,0,1,1,0,0.0,1.7,2.708,4,5,0,0.6721,3.1938,2.2361,0.3,0.6,0.8,0,1,0
126,4,1,7,3,0,6,1,0,0,0,1,0.0,1.0,2.934,5,0,0,0.4957,2.4254,3.4641,0.5,0.7,0.6,1,0,0
127,0,5,8,2,0,6,1,1,1,1,0,0.4,0.3,3.164,8,4,0,0.5732,1.3277,1.4142,0.4,0.4,0.7,1,1,0
128,6,7,10,4,0,3,0,1,0,1,0,0.5,1.3,0.27,6,7,0,0.5638,1.4674,2.4495,0.0,0.7,0.8,1,0,0
129,4,2,6,1,0,0,0,1,0,1,1,0.1,1.4,1.451,9,0,1,0.5086,0.8052,1.4142,0.1,0.4,0.2,0,0,0
130,5,1,13,2,1,1,1,1,0,1,1,0.7,0.4,2.445,11,5,0,0.3686,2.5374,1.7321,0.2,0.6,0.5,1,0,0
131,4,1,5,1,1,1,0,1,1,1,0,0.1,0.8,3.104,7,6,1,0.3783,2.0873,0.0,0.7,0.7,0.9,1,1,0
132,4,9,2,2,1,4,0,0,0,0,0,0.6,0.8,3.223,11,3,1,0.7968,1.3008,3.3166,0.4,0.2,0.0,1,0,0
133,0,7,0,3,0,4,1,0,1,1,0,0.6,0.7,3.486,1,6,1,0.9678,2.7573,2.4495,0.1,0.3,0.2,0,0,0
134,4,3,1,1,1,3,0,0,0,1,0,0.4,1.6,2.7,9,9,1,0.2231,3.4346,3.3166,0.4,0.0,0.5,0,1,0
135,6,8,6,3,1,2,0,1,1,1,1,0.4,1.3,0.564,6,8,1,0.5923,1.5788,1.4142,0.7,0.8,0.5,0,1,0
136,2,8,5,4,0,0,1,0,0,1,1,0.0,1.6,1.11,7,1,-1,0.5168,0.8486,2.8284,0.5,0.3,0.8,1,0,0
137,4,9,11,1,1,6,1,0,1,1,1,0.5,1.0,2.428,9,6,1,0.8449,2.2915,2.4495,0.1,0.3,0.8,0,1,0
138,0,10,1,1,0,6,0,1,0,0,0,0.3,1.5,2.525,2,2,1,0.956,2.4841,3.1623,0.3,0.6,0.5,0,0,0
139,2,10,3,4,1,-1,0,0,0,0,0,0.2,0.4,0.023,6,5,0,0.9977,2.2828,1.4142,0.9,0.7,0.1,0,1,0
140,3,2,13,3,1,2,0,0,1,0,0,0.1,0.5,1.984,2,2,0,0.8103,1.7605,3.6056,0.8,0.3,0.1,1,1,0
141,7,9,0,4,1,6,0,1,1,0,1,0.6,0.9,3.913,9,3,0,0.5476,2.6778,3.3166,0.1,0.1,0.2,1,0,1
142,1,4,5,3,1,2,0,1,1,1,0,0.8,0.9,0.236,1,9,0,1.2335,1.4256,3.0,0.4,0.5,0.3,0,1,0
143,2,4,2,3,1,4,0,0,1,0,0,0.1,0.1,1.474,2,2,0,0.5236,1.6141,2.4495,0.6,0.6,0.1,0,0,0
144,3,7,7,1,0,3,0,1,1,1,1,0.7,1.1,2.348,4,8,0,0.6786,3.3597,2.0,0.1,0.9,0.3,1,1,0
145,7,7,13,3,1,-1,1,1,0,1,0,0.4,0.0,3.748,6,2,1,0.9199,2.6278,2.4495,0.2,0.2,0.8,0,0,0
146,6,5,3,2,0,6,0,1,1,0,0,0.0,0.3,0.299,3,6,0,0.9035,0.5136,3.3166,0.3,0.8,0.1,1,0,0
147,0,11,5,4,1,2,0,1,1,1,0,0.4,0.6,3.345,6,9,1,0.7782,1.6031,2.4495,0.5,0.4,0.9,0,0,0
148,1,2,6,1,1,5,1,0,0,0,1,0.8,1.5,1.233,10,4,0,0.4707,2.8874,3.6056,0.5,0.6,0.7,0,0,0
149,6,1,11,1,1,3,1,1,0,0,0,0.9,0.4,1.195,1,0,1,1.239,3.1821,3.1623,0.3,0.3,0.2,0,0,0
150,0,0,13,3,0,1,0,0,0,1,1,0.4,0.7,1.088,11,1,1,0.588,1.0678,2.2361,0.8,0.4,0.3,1,1,0
151,6,9,1,4,0,0,0,0,1,1,0,0.4,1.2,3.544,8,9,1,0.9712,2.9266,3.6056,0.2,0.6,0.9,1,1,0
152,2,4,6,4,1,5,0,0,1,1,0,0.3,0.3,0.663,7,8,0,0.6486,1.4312,3.1623,0.8,0.6,0.6,0,1,0
153,7,5,10,3,1,4,0,0,0,1,1,0.3,0.1,0.291,7,6,0,0.3993,1.8536,3.1623,0.6,0.2,0.7,0,0,0
154,2,7,0,2,1,6,0,1,0,1,0,0.4,0.0,3.184,7,0,1,0.4212,1.761,2.2361,0.7,0.6,0.3,0,0,0
155,3,5,11,2,1,1,0,0,1,0,0,0.1,1.7,3.491,4,4,0,0.5055,1.8937,3.4641,0.5,0.9,0.8,0,1,1
156,5,6,3,4,0,4,0,1,0,1,0,0.6,0.1,1.028,6,0,1,0.3273,1.1155,2.0,0.8,0.2,0.3,0,0,0
157,1,0,7,1,1,0,1,1,0,1,0,0.3,1.2,3.893,0,2,1,0.9086,0.5611,0.0,0.3,0.4,0.7,1,0,0
158,4,1,13,1,0,0,1,1,0,0,1,0.6,0.0,3.731,1,4,0,1.1812,1.1377,2.0,0.7,0.2,0.0,0,0,0
159,4,11,8,3,1,4,0,1,1,0,1,0.6,1.5,0.485,6,8,1,0.8841,2.5069,3.0,0.7,0.2,0.7,1,0,0
160,6,5,13,2,1,3,1,0,0,1,1,0.8,1.2,0.622,10,5,1,1.0528,1.7677,1.7321,0.0,0.2,0.6,1,0,1
161,7,2,8,2,1,4,0,1,1,0,0,0.3,1.8,1.518,0,7,1,0.6682,1.0031,3.3166,0.1,0.5,0.0,1,1,0
162,5,4,2,4,1,5,1,1,0,0,1,0.8,1.7,2.689,0,6,0,0.5112,2.922,3.3166,0.0,0.2,0.3,0,0,0
163,3,4,9,2,1,5,1,1,1,0,0,0.6,1.7,0.029,5,0,1,0.4199,1.4015,2.2361,0.5,0.4,0.4,0,0,1
164,3,3,8,4,1,1,1,0,1,1,1,0.6,0.1,2.449,8,5,0,0.8899,2.1244,3.3166,0.2,0.7,0.0,0,1,0
165,3,3,4,1,1,1,0,0,1,0,0,0.5,1.1,3.424,10,3,1,0.2198,0.8683,3.4641,0.4,0.8,0.2,1,0,0
166,6,8,1,2,1,3,1,1,1,0,0,0.2,1.3,1.912,1,4,1,0.3337,1.3015,2.6458,0.5,0.5,0.7,0,0,0
167,2,1,9,1,0,6,0,1,0,1,1,0.0,0.2,0.321,11,8,0,1.0617,1.4299,2.0,0.5,0.3,0.8,1,0,0
168,1,3,8,3,0,4,0,0,0,1,0,0.5,0.4,0.76,9,4,0,1.0798,2.2201,1.7321,0.8,0.4,0.4,1,1,0
169,2,5,10,4,1,1,1,1,0,0,1,0.8,0.7,2.462,8,7,1,0.9622,1.3989,3.1623,0.7,0.2,0.8,0,1,0
170,0,6,1,4,0,4,1,1,1,1,0,0.8,1.5,2.467,7,2,1,0.4742,1.9152,2.6458,0.4,0.2,0.2,0,1,1
171,0,10,7,1,0,2,0,1,0,0,1,0.1,1.5,0.582,11,6,0,0.6881,1.6278,0.0,0.7,0.1,0.5,0,0,0
172,0,11,11,4,1,0,0,1,1,0,1,0.3,1.5,2.499,2,2,1,0.352,2.9329,2.0,0.8,0.1,0.8,1,1,0
173,6,3,12,1,0,4,0,0,1,1,0,0.4,0.5,1.23,11,7,0,0.8704,3.3073,2.2361,0.4,0.2,0.8,1,0,0
174,5,6,13,3,0,1,0,1,0,1,0,0.4,1.4,0.412,9,2,0,0.791,3.4584,1.7321,0.3,0.5,0.7,0,0,0
175,5,0,2,3,0,5,0,0,1,0,1,0.2,0.2,2.222,9,3,0,1.1576,2.2355,3.6056,0.4,0.3,0.2,1,1,1
176,3,7,2,1,1,3,1,0,1,1,1,0.6,1.7,2.737,9,0,0,1.0419,2.4387,1.4142,0.1,0.7,0.6,0,1,1
177,5,1,8,1,1,3,0,1,0,0,0,0.4,0.9,1.05,0,7,1,0.4928,0.7085,2.6458,0.8,0.2,0.8,1,0,0
178,1,0,6,1,0,1,1,1,0,1,0,0.8,1.3,3.104,5,2,0,0.2793,0.5644,2.4495,0.4,0.9,0.5,1,0,0
179,7,8,3,3,1,2,1,0,0,1,1,0.2,1.8,0.257,7,3,0,0.7253,2.0128,3.0,0.8,0.3,0.4,0,0,0
180,4,2,1,3,0,2,0,0,1,0,0,0.8,0.7,1.078,6,1,0,0.9653,3.2207,2.2361,0.0,0.6,0.3,1,1,0
181,7,5,2,1,1,4,1,1,1,1,1,0.7,0.5,1.78,11,8,1,0.6191,1.0979,1.0,0.4,0.8,0.3,1,1,0
