ps_ind_02_cat,ps_ind_04_cat,ps_ind_05_cat,ps_car_01_cat,ps_car_04_cat,ps_car_07_cat,ps_ind_01,ps_ind_03,ps_ind_15,ps_ind_06_bin,ps_ind_07_bin,ps_ind_16_bin,ps_ind_17_bin,ps_reg_01,ps_reg_02,ps_reg_03,ps_car_12,ps_car_13,ps_car_15,ps_calc_01,ps_calc_02,ps_calc_15_bin,ps_calc_16_bin,target
3,1,3,3,2,0,6,3,10,1,0,0,0,0.8,0.7,0.978,1.0179,1.2638,3.6056,0.9,0.7,0,1,No claim
3,0,3,4,7,0,2,5,10,1,1,0,0,0.5,0.8,2.252,1.1917,0.5206,3.3166,0.3,0.3,0,0,No claim
4,0,2,8,9,0,3,7,5,1,1,0,1,0.6,0.8,3.21,0.7305,0.8691,2.4495,0.0,0.2,0,0,Claim
2,1,3,11,5,1,0,7,10,0,1,0,0,0.1,1.7,1.192,1.2342,2.2883,3.1623,0.2,0.2,0,0,No claim
3,1,4,3,7,0,4,7,4,1,1,1,0,0.1,1.0,2.769,0.2229,1.5301,2.4495,0.3,0.6,0,0,No claim
2,0,2,7,8,1,1,5,13,1,0,1,0,0.5,1.5,2.799,0.8048,2.1342,2.8284,0.3,0.6,1,0,No claim
3,0,-1,8,3,0,5,10,8,0,1,0,0,0.0,0.5,3.04,1.2283,2.3338,1.4142,0.4,0.3,0,1,No claim
3,0,5,11,4,1,7,4,0,0,1,0,1,0.7,0.1,2.585,0.3715,2.1668,3.4641,0.8,0.2,0,1,No claim
1,1,1,6,7,0,5,6,8,0,1,1,0,0.7,1.1,1.736,1.101,2.8654,2.0,0.7,0.0,1,0,No claim
2,0,5,5,5,1,2,2,9,0,0,0,0,0.7,1.3,1.33,0.6111,2.9755,0.0,0.7,0.8,0,1,Claim
2,1,3,3,3,1,3,9,2,1,1,1,0,0.5,1.5,3.256,0.2052,2.9371,2.6458,0.0,0.7,1,0,No claim
4,1,0,0,0,1,2,7,7,0,1,0,0,0.5,0.4,3.341,0.2274,0.9382,2.8284,0.1,0.7,0,0,No claim
1,0,0,10,2,0,7,2,11,1,1,1,1,0.7,1.2,0.365,0.4293,1.8569,2.6458,0.3,0.1,0,1,No claim
2,1,-1,2,7,1,3,1,0,0,1,0,0,0.3,0.9,3.503,1.095,1.738,1.0,0.5,0.6,0,1,No claim
4,0,3,2,0,0,6,0,9,1,0,1,0,0.6,1.3,1.325,0.3947,2.2575,2.6458,0.3,0.3,1,1,No claim
4,0,4,11,5,0,1,4,12,0,1,0,0,0.5,1.6,3.761,0.4041,2.9618,1.4142,0.6,0.6,1,1,No claim
2,0,0,2,0,1,3,7,10,0,1,1,0,0.8,1.1,3.239,1.1764,1.716,3.1623,0.9,0.8,0,1,No claim
3,0,1,10,8,0,1,3,6,1,1,0,0,0.3,1.2,3.475,1.0159,1.721,1.4142,0.6,0.7,1,0,No claim
3,1,6,4,7,1,3,10,6,0,0,0,0,0.6,1.3,3.904,0.2534,3.1966,1.0,0.2,0.7,1,0,No claim
3,0,2,4,2,1,2,6,13,1,1,1,0,0.7,0.4,1.479,0.3622,1.6879,2.2361,0.7,0.1,0,0,No claim
3,1,3,1,5,1,1,4,1,1,0,1,0,0.6,1.4,0.321,0.8276,0.9936,3.0,0.4,0.9,0,0,No claim
4,1,4,4,6,1,4,0,2,1,0,0,0,0.8,0.2,2.494,1.1296,1.0209,2.2361,0.6,0.2,1,0,No claim
3,0,2,4,5,0,5,9,11,1,0,0,1,0.7,0.2,3.458,0.9125,1.9942,3.3166,0.2,0.5,0,0,No claim
2,0,5,-1,8,1,7,10,7,0,0,0,0,0.7,1.7,2.912,0.7441,2.6398,3.0,0.2,0.0,0,1,No claim
1,0,4,11,7,1,3,5,2,1,1,1,1,0.4,0.2,2.821,1.2102,1.7438,3.3166,0.9,0.4,1,0,No claim
3,0,3,10,6,0,1,6,0,1,0,1,1,0.1,1.5,3.765,0.2551,2.0934,3.4641,0.2,0.3,1,0,No claim
4,0,2,0,2,1,6,9,5,0,0,0,0,0.5,1.2,3.869,0.3564,1.9626,2.4495,0.3,0.5,1,0,No claim
3,0,1,7,3,0,5,8,8,1,0,1,0,0.4,1.4,3.296,0.4559,3.0634,2.8284,0.3,0.3,0,1,No claim
4,1,6,10,2,0,5,1,11,0,1,1,0,0.8,1.0,3.136,0.2101,0.8402,3.6056,0.2,0.1,1,1,No claim
2,0,0,0,2,1,0,8,12,0,0,0,1,0.6,1.4,1.402,0.6892,2.9005,2.4495,0.8,0.7,1,1,No claim
-1,0,1,1,2,1,2,11,6,0,1,0,1,0.7,1.7,1.851,0.63,0.8149,3.3166,0.0,0.4,1,1,No claim
1,1,5,6,6,0,6,5,13,0,0,0,1,0.6,0.6,1.916,0.2631,2.6652,1.7321,0.1,0.2,0,1,No claim
1,1,4,6,4,1,3,6,10,1,0,0,1,0.8,1.6,3.228,0.2889,1.9741,3.6056,0.5,0.4,1,1,No claim
2,1,5,10,6,0,6,7,9,1,0,1,0,0.8,0.3,0.823,0.9922,0.8278,3.4641,0.3,0.4,1,0,No claim
3,1,3,-1,0,1,3,2,10,0,1,0,0,0.7,1.6,3.155,0.3568,3.3339,3.3166,0.9,0.5,1,0,No claim
3,0,0,0,4,1,7,4,3,1,1,1,1,0.9,0.7,2.444,1.0152,1.5631,2.8284,0.1,0.4,0,1,No claim
3,0,4,9,6,1,1,4,4,1,1,1,1,0.8,1.2,2.002,0.8333,0.688,1.4142,0.2,0.1,0,0,No claim
3,0,0,11,1,0,5,4,7,1,0,1,0,0.2,1.8,2.784,0.5515,3.335,1.0,0.1,0.3,0,0,Claim
3,1,6,1,7,0,5,0,6,0,1,1,1,0.1,1.5,2.501,0.3266,2.6891,2.8284,0.1,0.9,0,1,Claim
3,0,4,10,0,0,1,8,9,0,0,1,0,0.2,0.5,2.623,1.021,2.2369,2.4495,0.8,0.9,1,1,No claim
2,0,4,4,4,1,6,5,12,1,1,1,1,0.1,1.3,3.804,0.7455,2.4866,2.0,0.2,0.6,1,1,Claim
3,0,2,1,7,1,1,11,5,0,0,0,1,0.3,0.5,0.183,0.7302,0.871,3.1623,0.6,0.6,1,0,No claim
3,0,2,8,5,0,6,2,5,1,1,0,0,0.8,0.9,1.184,0.7178,3.2908,3.1623,0.3,0.4,0,1,Claim
1,1,2,6,9,1,0,8,10,1,0,1,0,0.6,0.3,2.578,0.4638,3.4761,1.7321,0.1,0.8,0,0,No claim
1,0,0,2,2,1,6,2,13,1,1,1,1,0.5,0.5,1.529,0.6132,1.1505,1.7321,0.2,0.2,1,1,No claim
1,0,3,7,6,0,6,6,12,1,0,1,1,0.8,1.8,1.8,0.8478,2.394,3.4641,0.6,0.1,0,0,No claim
1,1,0,1,5,0,6,5,10,0,0,0,0,0.8,0.8,1.707,0.2129,2.556,0.0,0.3,0.4,0,0,No claim
2,0,4,-1,5,1,5,5,9,1,0,1,1,0.9,1.3,3.113,1.2919,1.6265,3.4641,0.3,0.1,0,0,No claim
4,1,4,4,9,0,5,9,13,1,0,1,1,0.7,0.0,1.8,1.2327,1.1193,0.0,0.2,0.9,1,0,Claim
4,0,2,1,7,1,2,3,0,0,0,0,1,0.0,1.2,2.668,1.2783,1.4512,3.3166,0.3,0.5,1,1,No claim
3,0,1,9,8,1,6,10,8,1,1,0,0,0.5,0.8,1.637,1.2691,2.2032,3.4641,0.8,0.4,0,1,No claim
1,0,1,1,9,0,4,2,0,1,0,1,0,0.4,0.5,0.26,1.1989,1.0801,2.2361,0.4,0.9,1,0,No claim
2,0,2,3,3,1,3,3,8,0,0,1,0,0.1,0.4,3.799,0.8905,0.9147,3.6056,0.1,0.1,1,1,No claim
4,0,1,3,1,1,4,11,4,0,0,0,1,0.4,1.6,3.761,0.6064,2.0531,3.1623,0.2,0.6,1,0,No claim
4,1,3,0,7,1,0,1,12,0,1,0,1,0.9,0.6,3.686,1.135,1.8853,1.4142,0.2,0.5,1,1,No claim
2,0,4,6,2,0,1,4,9,0,1,0,0,0.4,1.0,0.546,0.4227,3.2188,2.4495,0.7,0.2,0,0,No claim
2,0,3,1,3,1,1,5,7,0,0,0,0,0.7,0.1,2.552,0.3142,2.5767,2.2361,0.4,0.4,1,0,No claim
3,1,0,0,7,0,0,9,12,0,1,0,1,0.2,1.3,1.147,0.3489,3.3005,2.4495,0.7,0.0,1,0,No claim
1,0,5,-1,2,1,3,5,1,0,0,0,0,0.2,1.4,0.824,1.2097,0.7833,2.2361,0.4,0.7,1,1,No claim
1,0,2,0,7,0,5,11,9,1,1,0,0,0.8,0.7,2.246,0.7155,1.5966,3.1623,0.6,0.8,0,1,No claim
3,1,6,11,4,1,3,8,3,1,1,0,0,0.6,0.1,3.539,0.8516,2.5989,2.4495,0.3,0.6,1,0,No claim
1,1,0,4,5,0,6,9,2,1,0,1,0,0.0,1.7,2.708,0.6721,3.1938,2.2361,0.3,0.6,0,1,No claim
3,0,6,5,0,0,4,1,7,1,0,0,1,0.0,1.0,2.934,0.4957,2.4254,3.4641,0.5,0.7,1,0,No claim
4,0,3,6,7,0,6,7,10,0,1,1,0,0.5,1.3,0.27,0.5638,1.4674,2.4495,0.0,0.7,1,0,No claim
1,0,0,9,0,1,4,2,6,0,1,1,1,0.1,1.4,1.451,0.5086,0.8052,1.4142,0.1,0.4,0,0,No claim
2,1,1,11,5,0,5,1,13,1,1,1,1,0.7,0.4,2.445,0.3686,2.5374,1.7321,0.2,0.6,1,0,No claim
1,1,1,7,6,1,4,1,5,0,1,1,0,0.1,0.8,3.104,0.3783,2.0873,0.0,0.7,0.7,1,1,No claim
2,1,4,11,3,1,4,9,2,0,0,0,0,0.6,0.8,3.223,0.7968,1.3008,3.3166,0.4,0.2,1,0,No claim
3,0,4,1,6,1,0,7,0,1,0,1,0,0.6,0.7,3.486,0.9678,2.7573,2.4495,0.1,0.3,0,0,No claim
1,1,3,9,9,1,4,3,1,0,0,1,0,0.4,1.6,2.7,0.2231,3.4346,3.3166,0.4,0.0,0,1,No claim
3,1,2,6,8,1,6,8,6,0,1,1,1,0.4,1.3,0.564,0.5923,1.5788,1.4142,0.7,0.8,0,1,No claim
4,0,0,7,1,-1,2,8,5,1,0,1,1,0.0,1.6,1.11,0.5168,0.8486,2.8284,0.5,0.3,1,0,No claim
1,1,6,9,6,1,4,9,11,1,0,1,1,0.5,1.0,2.428,0.8449,2.2915,2.4495,0.1,0.3,0,1,No claim
3,1,2,2,2,0,3,2,13,0,0,0,0,0.1,0.5,1.984,0.8103,1.7605,3.6056,0.8,0.3,1,1,No claim
3,1,2,1,9,0,1,4,5,0,1,1,0,0.8,0.9,0.236,1.2335,1.4256,3.0,0.4,0.5,0,1,No claim
3,1,4,2,2,0,2,4,2,0,0,0,0,0.1,0.1,1.474,0.5236,1.6141,2.4495,0.6,0.6,0,0,No claim
1,0,3,4,8,0,3,7,7,0,1,1,1,0.7,1.1,2.348,0.6786,3.3597,2.0,0.1,0.9,1,1,No claim
3,1,-1,6,2,1,7,7,13,1,1,1,0,0.4,0.0,3.748,0.9199,2.6278,2.4495,0.2,0.2,0,0,No claim
2,0,6,3,6,0,6,5,3,0,1,0,0,0.0,0.3,0.299,0.9035,0.5136,3.3166,0.3,0.8,1,0,No claim
4,1,2,6,9,1,0,11,5,0,1,1,0,0.4,0.6,3.345,0.7782,1.6031,2.4495,0.5,0.4,0,0,No claim
3,0,1,11,1,1,0,0,13,0,0,1,1,0.4,0.7,1.088,0.588,1.0678,2.2361,0.8,0.4,1,1,No claim
2,1,6,7,0,1,2,7,0,0,1,1,0,0.4,0.0,3.184,0.4212,1.761,2.2361,0.7,0.6,0,0,No claim
2,1,1,4,4,0,3,5,11,0,0,0,0,0.1,1.7,3.491,0.5055,1.8937,3.4641,0.5,0.9,0,1,Claim
4,0,4,6,0,1,5,6,3,0,1,1,0,0.6,0.1,1.028,0.3273,1.1155,2.0,0.8,0.2,0,0,No claim
1,1,0,0,2,1,1,0,7,1,1,1,0,0.3,1.2,3.893,0.9086,0.5611,0.0,0.3,0.4,1,0,No claim
1,0,0,1,4,0,4,1,13,1,1,0,1,0.6,0.0,3.731,1.1812,1.1377,2.0,0.7,0.2,0,0,No claim
3,1,4,6,8,1,4,11,8,0,1,0,1,0.6,1.5,0.485,0.8841,2.5069,3.0,0.7,0.2,1,0,No claim
2,1,3,10,5,1,6,5,13,1,0,1,1,0.8,1.2,0.622,1.0528,1.7677,1.7321,0.0,0.2,1,0,Claim
2,1,4,0,7,1,7,2,8,0,1,0,0,0.3,1.8,1.518,0.6682,1.0031,3.3166,0.1,0.5,1,1,No claim
4,1,5,0,6,0,5,4,2,1,1,0,1,0.8,1.7,2.689,0.5112,2.922,3.3166,0.0,0.2,0,0,No claim
2,1,5,5,0,1,3,4,9,1,1,0,0,0.6,1.7,0.029,0.4199,1.4015,2.2361,0.5,0.4,0,0,Claim
4,1,1,8,5,0,3,3,8,1,0,1,1,0.6,0.1,2.449,0.8899,2.1244,3.3166,0.2,0.7,0,1,No claim
1,1,1,10,3,1,3,3,4,0,0,0,0,0.5,1.1,3.424,0.2198,0.8683,3.4641,0.4,0.8,1,0,No claim
1,0,6,11,8,0,2,1,9,0,1,1,1,0.0,0.2,0.321,1.0617,1.4299,2.0,0.5,0.3,1,0,No claim
3,0,4,9,4,0,1,3,8,0,0,1,0,0.5,0.4,0.76,1.0798,2.2201,1.7321,0.8,0.4,1,1,No claim
4,1,1,8,7,1,2,5,10,1,1,0,1,0.8,0.7,2.462,0.9622,1.3989,3.1623,0.7,0.2,0,1,No claim
4,0,4,7,2,1,0,6,1,1,1,1,0,0.8,1.5,2.467,0.4742,1.9152,2.6458,0.4,0.2,0,1,Claim
1,0,2,11,6,0,0,10,7,0,1,0,1,0.1,1.5,0.582,0.6881,1.6278,0.0,0.7,0.1,0,0,No claim
1,0,4,11,7,0,6,3,12,0,0,1,0,0.4,0.5,1.23,0.8704,3.3073,2.2361,0.4,0.2,1,0,No claim
3,0,1,9,2,0,5,6,13,0,1,1,0,0.4,1.4,0.412,0.791,3.4584,1.7321,0.3,0.5,0,0,No claim
3,0,5,9,3,0,5,0,2,0,0,0,1,0.2,0.2,2.222,1.1576,2.2355,3.6056,0.4,0.3,1,1,Claim
1,0,1,5,2,0,1,0,6,1,1,1,0,0.8,1.3,3.104,0.2793,0.5644,2.4495,0.4,0.9,1,0,No claim
3,1,2,7,3,0,7,8,3,1,0,1,1,0.2,1.8,0.257,0.7253,2.0128,3.0,0.8,0.3,0,0,No claim
3,0,2,6,1,0,4,2,1,0,0,0,0,0.8,0.7,1.078,0.9653,3.2207,2.2361,0.0,0.6,1,1,No claim
1,1,4,11,8,1,7,5,2,1,1,1,1,0.7,0.5,1.78,0.6191,1.0979,1.0,0.4,0.8,1,1,No claim
4,0,0,11,5,0,3,8,10,0,1,1,1,0.7,0.2,2.472,0.8531,2.4,2.8284,0.1,0.1,0,1,Claim
1,1,0,5,6,1,5,9,0,1,0,0,0,0.6,1.2,1.253,1.2337,2.6625,3.3166,0.0,0.4,0,0,No claim
3,1,1,5,8,1,3,6,1,0,0,1,0,0.4,1.8,0.649,1.1831,1.595,2.2361,0.0,0.0,1,0,No claim
2,1,3,7,2,1,3,10,3,0,0,0,1,0.5,1.6,3.871,0.7783,1.3296,2.4495,0.6,0.4,0,0,No claim
2,1,2,9,9,1,1,5,12,0,1,1,1,0.5,1.7,0.462,1.1946,0.5453,3.3166,0.2,0.7,1,1,Claim
2,1,6,0,6,0,3,2,13,1,0,1,1,0.2,0.4,0.023,0.7408,0.5649,2.6458,0.7,0.7,1,1,No claim
2,0,2,4,8,1,2,2,0,1,1,1,1,0.7,0.5,0.612,0.785,1.2122,3.3166,0.2,0.5,0,1,No claim
1,1,2,7,3,1,5,2,0,0,0,1,0,0.1,1.1,2.644,1.1096,2.1949,1.0,0.6,0.0,1,0,No claim
2,1,1,5,8,1,5,3,12,1,1,1,0,0.6,1.3,2.63,0.9734,1.0222,3.3166,0.4,0.3,1,0,No claim
3,1,6,2,7,0,4,2,6,0,0,1,1,0.8,1.4,2.012,0.5876,1.3382,1.7321,0.4,0.0,0,0,No claim
2,1,1,8,7,1,2,7,1,1,0,1,1,0.4,0.1,1.348,0.541,1.9888,0.0,0.3,0.7,0,0,No claim
1,1,4,1,0,0,2,4,4,1,0,0,1,0.3,0.5,1.114,0.6288,3.1677,3.6056,0.1,0.3,0,0,No claim
4,1,3,11,2,1,0,8,6,1,0,0,1,0.2,1.4,0.457,1.141,0.6849,3.0,0.0,0.9,0,1,No claim
2,0,2,3,4,1,2,6,3,0,0,0,1,0.5,1.6,0.529,0.8338,1.5243,1.7321,0.4,0.6,1,0,Claim
3,1,6,9,9,0,7,10,13,0,1,1,1,0.8,1.1,2.285,1.187,1.4318,3.0,0.7,0.4,0,0,Claim
3,0,2,4,2,0,2,5,11,1,0,1,1,0.6,0.0,1.815,1.2358,0.5046,2.4495,0.7,0.6,1,1,No claim
1,0,4,6,1,1,7,3,2,1,1,0,1,0.2,0.6,2.706,1.0894,1.7267,1.4142,0.5,0.8,1,0,No claim
4,0,5,10,8,0,3,7,10,1,0,1,0,0.4,1.7,0.181,0.3365,1.5114,2.8284,0.3,0.4,0,1,No claim
4,0,3,7,0,0,3,5,6,1,0,0,0,0.3,1.5,2.229,1.2238,2.8215,3.6056,0.6,0.1,1,1,No claim
2,1,2,3,9,0,2,6,10,1,1,0,0,0.2,0.9,0.848,0.8339,1.7849,2.4495,0.0,0.7,1,1,No claim
2,1,4,1,7,1,6,5,0,0,1,0,0,0.7,0.8,0.814,0.3104,2.9338,3.3166,0.8,0.4,1,0,No claim
3,0,3,5,4,1,7,3,10,0,1,0,0,0.6,1.0,3.502,0.8743,0.5328,3.6056,0.1,0.8,0,1,No claim
1,0,5,4,9,0,2,3,3,1,0,0,0,0.7,1.5,0.334,1.2227,2.2122,3.4641,0.2,0.5,1,1,No claim
-1,1,1,6,4,1,6,10,9,0,0,0,0,0.1,1.7,0.43,0.7199,2.2886,1.0,0.2,0.7,1,0,No claim
3,1,2,3,0,1,5,1,0,0,0,0,0,0.1,1.7,3.79,0.2207,2.9695,3.4641,0.8,0.4,1,0,No claim
1,0,4,0,1,1,6,11,10,0,1,1,0,0.6,1.4,1.763,0.8907,3.3938,0.0,0.1,0.0,1,0,Claim
-1,0,1,10,9,0,3,8,3,0,1,1,0,0.8,1.4,0.387,1.2788,2.6411,3.4641,0.3,0.1,0,0,No claim
1,0,6,0,3,1,5,0,13,0,1,1,1,0.8,1.7,2.757,0.3474,3.1884,3.0,0.6,0.5,1,0,No claim
2,1,5,6,0,1,0,7,2,0,0,0,0,0.3,0.1,3.797,0.3106,0.5145,1.0,0.8,0.7,0,1,No claim
2,1,3,5,0,0,0,10,8,0,0,0,1,0.4,0.2,3.605,0.6576,0.6369,1.0,0.7,0.0,1,1,No claim
1,1,2,1,5,1,3,5,5,1,0,1,1,0.0,1.0,3.518,1.0094,2.2165,3.3166,0.6,0.4,0,1,No claim
1,0,5,3,3,1,7,6,8,1,1,1,0,0.6,1.5,0.011,1.1498,3.3212,1.7321,0.5,0.7,1,1,No claim
4,0,1,5,5,0,1,3,7,0,0,1,1,0.2,0.1,3.759,1.16,0.6347,3.6056,0.6,0.8,1,1,No claim
1,1,5,11,3,0,5,7,9,1,0,0,1,0.5,1.1,0.194,1.1433,2.0143,3.6056,0.5,0.7,0,1,No claim
2,0,6,3,4,0,1,9,3,1,0,1,0,0.1,1.1,2.873,0.7127,1.9159,1.7321,0.3,0.5,1,1,No claim
3,1,2,8,1,1,5,10,12,0,1,1,0,0.7,0.5,3.68,1.0746,3.3064,3.3166,0.5,0.5,0,1,No claim
3,1,3,1,3,1,2,9,13,1,1,1,1,0.7,0.4,1.378,1.0698,0.9571,3.3166,0.3,0.8,1,0,No claim
2,0,3,5,1,1,6,7,2,0,0,1,1,0.8,0.0,2.717,0.8406,3.1241,1.0,0.8,0.6,0,1,No claim
1,0,5,1,4,1,4,6,10,1,0,0,0,0.1,0.3,1.33,0.2285,1.4335,3.3166,0.7,0.6,1,0,No claim
4,0,3,5,4,0,4,4,13,0,0,1,0,0.4,0.0,2.622,0.5014,0.9938,3.1623,0.3,0.7,1,1,No claim
3,0,4,-1,3,1,1,9,1,1,0,0,1,0.0,0.9,2.108,0.7447,2.0852,1.0,0.7,0.7,0,1,No claim
4,1,4,1,8,0,3,3,10,0,0,0,0,0.9,1.2,0.517,0.9595,1.6929,2.2361,0.7,0.0,1,0,No claim
2,1,5,3,9,0,6,3,13,0,0,0,1,0.4,1.1,0.03,0.29,1.3133,3.4641,0.2,0.7,1,1,No claim
2,0,4,7,1,1,6,7,8,0,1,0,1,0.2,0.1,0.887,0.5705,0.9185,3.6056,0.9,0.1,0,0,Claim
3,1,0,11,4,0,5,10,4,1,0,1,0,0.4,0.4,3.575,0.6916,3.1063,1.4142,0.6,0.6,1,0,No claim
3,1,5,7,9,1,5,11,3,0,1,0,0,0.5,1.2,3.386,1.022,0.8986,1.7321,0.6,0.7,0,0,No claim
1,0,2,3,8,0,3,3,5,0,1,0,1,0.2,1.5,2.55,1.2952,2.0014,2.8284,0.1,0.9,0,1,No claim
2,1,6,7,4,1,5,5,10,1,0,0,1,0.4,0.7,0.498,1.1374,0.9503,1.0,0.8,0.3,0,0,No claim
3,0,0,5,4,1,1,8,5,1,0,1,0,0.0,0.7,0.716,0.6084,2.5442,3.0,0.5,0.7,0,1,No claim
2,0,3,6,5,-1,4,11,5,0,0,1,1,0.2,1.0,3.796,1.087,3.3378,2.6458,0.2,0.6,1,1,No claim
3,0,0,5,0,1,0,6,13,1,0,0,0,0.7,1.6,2.523,0.9376,1.532,3.0,0.7,0.8,1,1,No claim
-1,0,5,0,5,1,5,9,8,0,0,0,0,0.7,1.2,1.654,0.5621,2.1681,2.6458,0.6,0.5,1,1,No claim
1,0,6,4,7,1,0,10,9,1,1,0,1,0.1,1.4,2.132,1.073,1.0571,1.4142,0.6,0.0,1,0,No claim
3,1,6,8,4,0,6,4,12,0,1,1,0,0.1,0.1,1.611,0.4283,1.5835,3.4641,0.9,0.5,1,0,No claim
4,1,2,1,4,1,3,4,2,1,1,0,1,0.3,0.7,0.504,1.0096,1.6269,3.3166,0.6,0.4,0,0,No claim
2,0,1,5,1,1,6,5,13,0,1,0,1,0.2,0.7,0.338,0.7734,0.983,1.0,0.0,0.6,1,1,No claim
4,1,6,2,1,0,0,11,13,1,0,1,1,0.0,1.1,2.679,0.3867,2.4976,2.0,0.7,0.1,1,1,No claim
4,0,2,10,8,0,3,1,4,0,1,1,0,0.4,0.5,0.328,0.8981,1.9668,1.0,0.4,0.2,0,1,No claim
2,0,0,3,6,0,2,6,5,0,0,1,1,0.1,1.0,2.373,0.2067,1.4984,2.4495,0.8,0.7,0,0,No claim
