driver_age_band,driver_sex,driver_experience,driver_education,driver_vehicle_relation,vehicle_type,vehicle_owner,vehicle_service_year,vehicle_defect,weather,road_surface,light_condition,time_of_day,synthetic_severity_label
18-30,Male,No Licence,High school,Owner,Bajaj,Unknown,2-5yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Unknown,5-10yr,High school,Employee,Motorcycle,Owner,2-5yrs,No defect,Normal,Gravel,Daylight,Afternoon,Slight
31-50,Female,5-10yr,Elementary school,Employee,Automobile,Organization,Above 10yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
Over 51,Male,Above 10yr,Writing & reading,Owner,Automobile,Owner,Above 10yr,No defect,Normal,Gravel,Daylight,Morning,Slight
31-50,Male,5-10yr,High school,Employee,Motorcycle,Other,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,5-10yr,Unknown,Owner,Public (>45 seats),Governmental,Above 10yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Unknown,Elementary school,Employee,Automobile,Governmental,5-10yrs,No defect,Cloudy,Asphalt,Daylight,Morning,Slight
31-50,Male,2-5yr,Junior high school,Other,Automobile,Organization,Above 10yr,No defect,Cloudy,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Below 1yr,Illiterate,Owner,Lorry,Owner,Above 10yr,No defect,Normal,Asphalt,Daylight,Night,Slight
18-30,Female,1-2yr,Junior high school,Owner,Motorcycle,Owner,Below 1yr,No defect,Normal,Other,Daylight,Afternoon,Slight
18-30,Male,No Licence,High school,Owner,Public (>45 seats),Unknown,2-5yrs,No defect,Normal,Asphalt,Daylight,Night,Slight
18-30,Male,2-5yr,Above high school,Owner,Automobile,Organization,5-10yrs,No defect,Normal,Earth,Unknown,Afternoon,Slight
18-30,Male,Above 10yr,Unknown,Other,Automobile,Organization,Below 1yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,1-2yr,High school,Employee,Automobile,Owner,Below 1yr,No defect,Normal,Asphalt,Darkness - lit,Morning,Slight
31-50,Male,Above 10yr,Junior high school,Owner,Bajaj,Governmental,5-10yrs,No defect,Normal,Earth,Unknown,Morning,Slight
31-50,Male,2-5yr,High school,Employee,Motorcycle,Owner,Below 1yr,7,Normal,Asphalt,Daylight,Evening,Slight
31-50,Male,1-2yr,Elementary school,Employee,Motorcycle,Unknown,1-2yr,No defect,Cloudy,Gravel,Daylight,Evening,Slight
18-30,Male,2-5yr,Elementary school,Employee,Unknown,Organization,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
Under 18,Male,1-2yr,Elementary school,Employee,Unknown,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Unknown,Elementary school,Employee,Automobile,Unknown,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,1-2yr,Writing & reading,Owner,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Unknown,Afternoon,Slight
18-30,Male,Above 10yr,High school,Owner,Motorcycle,Owner,1-2yr,5,Normal,Asphalt,Daylight,Evening,Slight
18-30,Male,2-5yr,Above high school,Employee,Automobile,Organization,Above 10yr,No defect,Other,Asphalt,Daylight,Evening,Slight
Unknown,Male,5-10yr,Illiterate,Owner,Automobile,Owner,2-5yrs,No defect,Other,Asphalt,Daylight,Morning,Slight
18-30,Female,2-5yr,Junior high school,Employee,Lorry,Other,2-5yrs,No defect,Cloudy,Asphalt,Daylight,Afternoon,Slight
31-50,Male,1-2yr,High school,Owner,Bajaj,Owner,Above 10yr,No defect,Normal,Gravel,Daylight,Afternoon,Slight
31-50,Male,1-2yr,Elementary school,Owner,Automobile,Governmental,2-5yrs,No defect,Normal,Earth,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,Junior high school,Employee,Motorcycle,Other,Above 10yr,No defect,Normal,Asphalt,Unknown,Evening,Slight
18-30,Male,No Licence,Junior high school,Employee,Automobile,Owner,Unknown,No defect,Normal,Unknown,Daylight,Afternoon,Slight
31-50,Male,2-5yr,Junior high school,Owner,Automobile,Owner,5-10yrs,No defect,Normal,Other,Darkness - lit,Night,Slight
18-30,Male,Above 10yr,High school,Owner,Other,Governmental,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,Above 10yr,Writing & reading,Owner,Automobile,Governmental,2-5yrs,No defect,Cloudy,Asphalt,Daylight,Morning,Slight
31-50,Male,5-10yr,High school,Owner,Bajaj,Organization,1-2yr,No defect,Normal,Asphalt,Darkness - unlit,Afternoon,Slight
31-50,Male,Above 10yr,High school,Owner,Automobile,Governmental,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,2-5yr,Illiterate,Owner,Automobile,Owner,Below 1yr,No defect,Cloudy,Asphalt,Darkness - lit,Morning,Slight
18-30,Male,2-5yr,High school,Employee,Motorcycle,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,Elementary school,Owner,Motorcycle,Other,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,2-5yr,Writing & reading,Unknown,Bajaj,Organization,5-10yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
Over 51,Male,5-10yr,Junior high school,Employee,Automobile,Organization,2-5yrs,No defect,Cloudy,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,Writing & reading,Owner,Public (>45 seats),Organization,Above 10yr,Unknown,Normal,Asphalt,Daylight,Night,Slight
18-30,Male,2-5yr,Junior high school,Employee,Public (>45 seats),Other,2-5yrs,No defect,Cloudy,Asphalt,Daylight,Evening,Slight
31-50,Male,5-10yr,Junior high school,Employee,Motorcycle,Governmental,5-10yrs,No defect,Normal,Asphalt,Darkness - lit,Morning,Slight
18-30,Male,2-5yr,High school,Owner,Motorcycle,Owner,Unknown,No defect,Normal,Gravel,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,Above high school,Other,Other,Organization,1-2yr,No defect,Normal,Gravel,Daylight,Afternoon,Slight
18-30,Male,5-10yr,Junior high school,Employee,Motorcycle,Organization,Above 10yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,5-10yr,Elementary school,Employee,Lorry,Governmental,5-10yrs,5,Normal,Asphalt,Darkness - lit,Morning,Slight
31-50,Male,Below 1yr,Junior high school,Employee,Bajaj,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Below 1yr,Junior high school,Employee,Public (>45 seats),Owner,1-2yr,No defect,Normal,Asphalt,Darkness - unlit,Afternoon,Slight
31-50,Male,1-2yr,Junior high school,Owner,Public (>45 seats),Organization,1-2yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
Unknown,Male,Unknown,Elementary school,Employee,Automobile,Other,5-10yrs,No defect,Normal,Unknown,Darkness - unlit,Morning,Slight
31-50,Male,No Licence,Junior high school,Employee,Other,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,1-2yr,Writing & reading,Owner,Automobile,Organization,Below 1yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,No Licence,High school,Other,Motorcycle,Owner,5-10yrs,No defect,Raining,Gravel,Daylight,Afternoon,Slight
Unknown,Male,2-5yr,High school,Other,Automobile,Owner,5-10yrs,No defect,Cloudy,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,Above high school,Owner,Public (12 seats),Organization,5-10yrs,No defect,Normal,Unknown,Unknown,Evening,Slight
18-30,Male,Unknown,Elementary school,Employee,Lorry,Owner,2-5yrs,No defect,Cloudy,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Unknown,Junior high school,Employee,Automobile,Organization,Below 1yr,No defect,Normal,Asphalt,Daylight,Evening,Slight
31-50,Female,5-10yr,Above high school,Owner,Motorcycle,Other,2-5yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Female,2-5yr,Junior high school,Owner,Motorcycle,Organization,1-2yr,No defect,Normal,Asphalt,Daylight,Evening,Slight
31-50,Male,Above 10yr,Junior high school,Owner,Automobile,Owner,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,Above 10yr,Junior high school,Owner,Automobile,Organization,2-5yrs,No defect,Normal,Earth,Daylight,Morning,Slight
Over 51,Male,Above 10yr,Above high school,Employee,Motorcycle,Owner,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,5-10yr,Writing & reading,Owner,Bajaj,Organization,2-5yrs,No defect,Normal,Asphalt,Darkness - unlit,Afternoon,Slight
18-30,Male,1-2yr,Writing & reading,Owner,Lorry,Owner,Above 10yr,No defect,Normal,Asphalt,Darkness - lit,Afternoon,Slight
31-50,Male,5-10yr,Above high school,Owner,Motorcycle,Owner,1-2yr,No defect,Normal,Gravel,Daylight,Evening,Slight
31-50,Male,5-10yr,Illiterate,Other,Bajaj,Owner,Below 1yr,No defect,Windy,Asphalt,Darkness - lit,Morning,Slight
31-50,Male,1-2yr,Junior high school,Employee,Automobile,Other,Above 10yr,No defect,Normal,Asphalt,Darkness - lit,Morning,Slight
18-30,Male,Above 10yr,Above high school,Owner,Motorcycle,Owner,Unknown,No defect,Normal,Asphalt,Daylight,Morning,Slight
Unknown,Male,Above 10yr,Writing & reading,Employee,Lorry,Owner,Below 1yr,No defect,Raining,Gravel,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,Junior high school,Owner,Automobile,Other,2-5yrs,5,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,5-10yr,High school,Employee,Automobile,Unknown,2-5yrs,No defect,Normal,Asphalt,Unknown,Evening,Slight
31-50,Male,2-5yr,High school,Owner,Public (>45 seats),Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,2-5yr,Junior high school,Employee,Automobile,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,No Licence,Illiterate,Employee,Automobile,Owner,Below 1yr,Unknown,Raining,Asphalt,Darkness - lit,Afternoon,Slight
18-30,Male,Below 1yr,Writing & reading,Owner,Automobile,Governmental,2-5yrs,Unknown,Normal,Asphalt,Daylight,Evening,Slight
18-30,Male,2-5yr,Junior high school,Owner,Automobile,Organization,2-5yrs,Unknown,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,Writing & reading,Employee,Motorcycle,Owner,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,2-5yr,High school,Owner,Automobile,Organization,Below 1yr,No defect,Normal,Unknown,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,Elementary school,Owner,Bajaj,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Below 1yr,Above high school,Employee,Automobile,Other,Above 10yr,No defect,Normal,Unknown,Unknown,Morning,Slight
18-30,Female,Unknown,High school,Owner,Bajaj,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,2-5yr,High school,Employee,Automobile,Owner,2-5yrs,No defect,Normal,Unknown,Darkness - lit,Afternoon,Slight
31-50,Male,Above 10yr,Writing & reading,Unknown,Automobile,Organization,5-10yrs,No defect,Normal,Asphalt,Darkness - lit,Morning,Slight
18-30,Male,5-10yr,Junior high school,Owner,Automobile,Governmental,1-2yr,No defect,Unknown,Asphalt,Daylight,Afternoon,Slight
31-50,Male,2-5yr,Above high school,Owner,Public (>45 seats),Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Evening,Slight
31-50,Unknown,2-5yr,High school,Owner,Public (>45 seats),Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,5-10yr,Above high school,Employee,Bajaj,Owner,2-5yrs,No defect,Normal,Asphalt,Darkness - lit,Afternoon,Slight
31-50,Male,2-5yr,Above high school,Owner,Bajaj,Owner,2-5yrs,No defect,Normal,Asphalt,Darkness - lit,Morning,Slight
18-30,Male,2-5yr,Elementary school,Owner,Bajaj,Organization,1-2yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,5-10yr,High school,Owner,Bicycle,Governmental,Above 10yr,No defect,Normal,Earth,Darkness - lit,Evening,Slight
18-30,Male,2-5yr,High school,Employee,Motorcycle,Owner,5-10yrs,No defect,Normal,Gravel,Daylight,Morning,Slight
31-50,Female,2-5yr,Above high school,Employee,Automobile,Owner,1-2yr,No defect,Normal,Asphalt,Daylight,Evening,Slight
31-50,Male,1-2yr,Elementary school,Employee,Automobile,Unknown,Unknown,Unknown,Cloudy,Asphalt,Daylight,Afternoon,Slight
Over 51,Male,1-2yr,High school,Other,Bajaj,Owner,Above 10yr,No defect,Windy,Asphalt,Daylight,Night,Slight
31-50,Male,Above 10yr,Illiterate,Employee,Automobile,Governmental,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,5-10yr,Junior high school,Owner,Bicycle,Governmental,5-10yrs,No defect,Normal,Asphalt,Darkness - unlit,Morning,Slight
31-50,Male,Above 10yr,Junior high school,Owner,Motorcycle,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
Unknown,Male,Above 10yr,Writing & reading,Other,Bajaj,Other,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,5-10yr,High school,Owner,Automobile,Unknown,2-5yrs,No defect,Raining,Asphalt,Daylight,Evening,Slight
31-50,Male,Below 1yr,High school,Other,Public (>45 seats),Owner,1-2yr,No defect,Normal,Earth,Daylight,Afternoon,Slight
Unknown,Male,Above 10yr,Above high school,Owner,Bajaj,Governmental,Below 1yr,No defect,Other,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,Above high school,Other,Unknown,Governmental,1-2yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,5-10yr,High school,Owner,Automobile,Owner,1-2yr,No defect,Normal,Asphalt,Darkness - lit,Morning,Slight
31-50,Male,Above 10yr,High school,Employee,Automobile,Owner,Unknown,No defect,Normal,Asphalt,Darkness - lit,Evening,Slight
Over 51,Male,Above 10yr,Junior high school,Employee,Automobile,Owner,2-5yrs,No defect,Normal,Gravel,Daylight,Afternoon,Slight
31-50,Male,2-5yr,High school,Owner,Automobile,Owner,2-5yrs,No defect,Normal,Other,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,Writing & reading,Employee,Automobile,Governmental,1-2yr,No defect,Normal,Asphalt,Darkness - lit,Afternoon,Slight
31-50,Male,2-5yr,Elementary school,Owner,Motorcycle,Organization,Below 1yr,No defect,Cloudy,Gravel,Darkness - unlit,Night,Slight
31-50,Male,1-2yr,Above high school,Owner,Automobile,Organization,1-2yr,No defect,Normal,Asphalt,Darkness - lit,Afternoon,Slight
31-50,Male,Above 10yr,High school,Owner,Automobile,Owner,Above 10yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,5-10yr,Elementary school,Owner,Automobile,Owner,5-10yrs,No defect,Other,Asphalt,Daylight,Afternoon,Slight
18-30,Male,2-5yr,Writing & reading,Owner,Motorcycle,Owner,Above 10yr,7,Normal,Earth,Daylight,Afternoon,Slight
31-50,Male,Unknown,Junior high school,Owner,Bajaj,Governmental,Unknown,5,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,2-5yr,Junior high school,Owner,Public (12 seats),Owner,Above 10yr,No defect,Normal,Gravel,Unknown,Night,Slight
Unknown,Male,2-5yr,Writing & reading,Owner,Automobile,Owner,2-5yrs,No defect,Unknown,Asphalt,Darkness - lit,Afternoon,Slight
31-50,Male,2-5yr,Elementary school,Owner,Automobile,Owner,Above 10yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,High school,Employee,Motorcycle,Owner,1-2yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
Over 51,Male,2-5yr,Junior high school,Employee,Public (12 seats),Organization,1-2yr,No defect,Normal,Unknown,Daylight,Afternoon,Slight
31-50,Male,Unknown,Junior high school,Owner,Other,Governmental,2-5yrs,No defect,Normal,Asphalt,Daylight,Night,Slight
18-30,Male,5-10yr,Junior high school,Owner,Motorcycle,Owner,5-10yrs,No defect,Normal,Asphalt,Darkness - lit,Morning,Slight
18-30,Male,2-5yr,Writing & reading,Owner,Bajaj,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Below 1yr,High school,Owner,Automobile,Organization,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,5-10yr,Elementary school,Employee,Automobile,Owner,2-5yrs,Unknown,Raining,Asphalt,Daylight,Morning,Slight
31-50,Male,5-10yr,Unknown,Owner,Motorcycle,Owner,2-5yrs,No defect,Cloudy,Asphalt,Daylight,Morning,Slight
31-50,Male,Above 10yr,Elementary school,Other,Unknown,Owner,1-2yr,No defect,Cloudy,Asphalt,Daylight,Morning,Slight
31-50,Female,Above 10yr,Unknown,Unknown,Automobile,Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,Junior high school,Employee,Automobile,Owner,Below 1yr,No defect,Normal,Asphalt,Darkness - unlit,Afternoon,Slight
Over 51,Male,Above 10yr,Junior high school,Owner,Unknown,Owner,2-5yrs,5,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,Unknown,Junior high school,Owner,Motorcycle,Owner,2-5yrs,5,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,2-5yr,High school,Owner,Automobile,Governmental,2-5yrs,No defect,Normal,Unknown,Daylight,Afternoon,Slight
Unknown,Male,5-10yr,Above high school,Owner,Automobile,Organization,Above 10yr,No defect,Raining,Asphalt,Darkness - lit,Afternoon,Slight
18-30,Male,2-5yr,Above high school,Owner,Bajaj,Owner,1-2yr,No defect,Normal,Other,Daylight,Morning,Slight
31-50,Male,Above 10yr,High school,Other,Motorcycle,Owner,Unknown,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,High school,Employee,Motorcycle,Organization,2-5yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,5-10yr,Junior high school,Employee,Motorcycle,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,2-5yr,High school,Owner,Public (>45 seats),Organization,Below 1yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,No Licence,Above high school,Employee,Automobile,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,2-5yr,Elementary school,Other,Automobile,Other,2-5yrs,No defect,Unknown,Asphalt,Daylight,Afternoon,Slight
31-50,Male,5-10yr,Elementary school,Owner,Lorry,Owner,Above 10yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,5-10yr,Writing & reading,Owner,Automobile,Owner,2-5yrs,No defect,Normal,Gravel,Unknown,Evening,Slight
31-50,Male,No Licence,High school,Other,Motorcycle,Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Below 1yr,High school,Owner,Motorcycle,Organization,1-2yr,No defect,Windy,Asphalt,Darkness - lit,Morning,Slight
31-50,Male,1-2yr,High school,Owner,Bajaj,Unknown,1-2yr,No defect,Unknown,Asphalt,Daylight,Night,Slight
31-50,Male,1-2yr,Writing & reading,Employee,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,2-5yr,Writing & reading,Owner,Automobile,Owner,Unknown,No defect,Normal,Gravel,Daylight,Evening,Slight
31-50,Male,Above 10yr,High school,Employee,Automobile,Owner,Below 1yr,No defect,Cloudy,Gravel,Daylight,Afternoon,Slight
31-50,Male,5-10yr,Writing & reading,Owner,Bajaj,Owner,1-2yr,7,Windy,Earth,Daylight,Evening,Slight
31-50,Male,5-10yr,Above high school,Owner,Motorcycle,Owner,Unknown,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,5-10yr,Junior high school,Employee,Motorcycle,Unknown,2-5yrs,Unknown,Normal,Other,Daylight,Morning,Slight
18-30,Male,2-5yr,Junior high school,Employee,Bajaj,Owner,1-2yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,2-5yr,Elementary school,Employee,Lorry,Organization,Below 1yr,No defect,Normal,Unknown,Daylight,Morning,Slight
18-30,Male,2-5yr,Junior high school,Owner,Automobile,Organization,Below 1yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,High school,Owner,Public (>45 seats),Owner,5-10yrs,No defect,Normal,Other,Daylight,Morning,Slight
31-50,Male,2-5yr,High school,Owner,Bicycle,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,2-5yr,Junior high school,Owner,Automobile,Organization,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,2-5yr,High school,Employee,Lorry,Organization,2-5yrs,No defect,Normal,Earth,Daylight,Afternoon,Slight
31-50,Male,Below 1yr,Junior high school,Employee,Unknown,Owner,1-2yr,No defect,Unknown,Asphalt,Daylight,Evening,Slight
31-50,Male,1-2yr,Above high school,Owner,Motorcycle,Owner,1-2yr,No defect,Cloudy,Asphalt,Daylight,Night,Slight
31-50,Male,Above 10yr,Elementary school,Employee,Motorcycle,Governmental,2-5yrs,No defect,Windy,Asphalt,Daylight,Morning,Slight
Over 51,Male,No Licence,High school,Owner,Motorcycle,Owner,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Female,No Licence,Junior high school,Employee,Automobile,Governmental,2-5yrs,No defect,Normal,Asphalt,Daylight,Evening,Slight
18-30,Male,5-10yr,High school,Owner,Motorcycle,Owner,2-5yrs,No defect,Raining,Unknown,Unknown,Night,Slight
18-30,Male,2-5yr,Elementary school,Employee,Automobile,Other,Above 10yr,No defect,Windy,Earth,Unknown,Evening,Slight
31-50,Male,1-2yr,Above high school,Owner,Other,Governmental,2-5yrs,No defect,Normal,Asphalt,Daylight,Evening,Slight
31-50,Male,5-10yr,Junior high school,Unknown,Automobile,Governmental,Below 1yr,No defect,Normal,Earth,Daylight,Evening,Slight
18-30,Male,Above 10yr,Junior high school,Owner,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Unknown,Night,Slight
31-50,Male,Above 10yr,Unknown,Employee,Automobile,Organization,2-5yrs,No defect,Cloudy,Asphalt,Daylight,Afternoon,Slight
31-50,Male,5-10yr,High school,Other,Other,Owner,Above 10yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Below 1yr,Writing & reading,Owner,Motorcycle,Owner,Above 10yr,No defect,Windy,Gravel,Daylight,Afternoon,Slight
18-30,Male,1-2yr,Junior high school,Other,Automobile,Owner,5-10yrs,No defect,Raining,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,Writing & reading,Owner,Automobile,Organization,Above 10yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Unknown,High school,Owner,Lorry,Governmental,5-10yrs,No defect,Normal,Asphalt,Darkness - unlit,Evening,Slight
31-50,Male,5-10yr,Elementary school,Employee,Bajaj,Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,5-10yr,Above high school,Owner,Motorcycle,Governmental,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,1-2yr,Elementary school,Owner,Bajaj,Governmental,Above 10yr,No defect,Windy,Earth,Daylight,Afternoon,Slight
31-50,Male,1-2yr,Above high school,Other,Motorcycle,Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
Over 51,Male,Above 10yr,Elementary school,Employee,Motorcycle,Unknown,Unknown,No defect,Raining,Asphalt,Daylight,Morning,Slight
18-30,Male,5-10yr,Writing & reading,Employee,Automobile,Governmental,5-10yrs,No defect,Normal,Gravel,Daylight,Afternoon,Slight
31-50,Female,Above 10yr,Illiterate,Employee,Motorcycle,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Evening,Slight
Over 51,Male,Above 10yr,High school,Employee,Bajaj,Organization,Above 10yr,Unknown,Raining,Asphalt,Daylight,Afternoon,Slight
18-30,Male,2-5yr,Above high school,Employee,Public (>45 seats),Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Evening,Slight
